ts,u_predict,t_,V
4.06,-33.16872633567579,4.06,-33.31094235
4.08,-33.07878467707006,4.08,-33.18571299
4.1,-32.989275888334,4.1,-33.09179097
4.12,-32.90023923222521,4.12,-32.747410239999994
4.14,-32.81171822672428,4.140000000000001,-32.87263960000001
4.16,-32.72376070176991,4.16,-32.84133226
4.18,-32.63641862627851,4.18,-32.77871758
4.2,-32.549747642461675,4.2,-32.65348822
4.22,-32.463806239563596,4.22,-32.77871758
4.24,-32.37865449723339,4.24,-32.7161029
4.26,-32.29435233137343,4.26,-32.5595662
4.28,-32.2109571842927,4.28,-32.622180879999995
4.3,-32.128521118336934,4.3,-32.4030295
4.32,-32.047087299838964,4.319999999999999,-32.30910748
4.34,-31.96668589987725,4.34,-32.2464928
4.36,-31.887329490826716,4.36,-31.933423129999998
4.38,-31.809008082605104,4.38,-31.902115789999996
4.4,-31.731684017511682,4.4,-31.902115789999996
4.42,-31.655287022780065,4.42,-31.745579090000003
4.44,-31.579709797685304,4.4399999999999995,-31.65165707
4.46,-31.504804576630896,4.46,-31.65165707
4.48,-31.430381148141578,4.48,-31.30727634
4.5,-31.356206808199246,4.5,-31.21335432
4.52,-31.282008672143405,4.5200000000000005,-31.088124960000002
4.54,-31.207478653646838,4.539999999999999,-31.24466166
4.56,-31.132281240219136,4.56,-31.15073964
4.58,-31.056063959847627,4.58,-31.18204698
4.6,-30.978470160928474,4.6,-31.088124960000002
4.62,-30.899153445621543,4.62,-30.837666239999997
4.64,-30.817792840136228,4.640000000000001,-30.58720939
4.66,-30.734107591235265,4.66,-30.49328737
4.68,-30.64787037965992,4.68,-30.39936535
4.7,-30.558917762130754,4.7,-30.368058010000002
4.72,-30.467156804472367,4.72,-30.18021397
4.74,-30.372567144030164,4.74,-30.054984609999998
4.76,-30.275198098837386,4.760000000000001,-29.92975526
4.78,-30.175160888436814,4.779999999999999,-29.99236993
4.8,-30.072616499601082,4.8,-29.77321856
4.82,-29.967760164797014,4.82,-29.77321856
4.84,-29.8608037666313,4.84,-29.64799106
4.86,-29.751957690067705,4.86,-29.616683719999997
4.88,-29.64141368563608,4.88,-29.616683719999997
4.9,-29.52933017598847,4.9,-29.39753234
4.92,-29.415821157986656,4.92,-29.20968831
4.94,-29.30094947069295,4.9399999999999995,-29.17838097
4.96,-29.184724778821945,4.96,-28.86530757
4.98,-29.06710622560977,4.98,-28.70877273
5.0,-28.948009391157193,5.0,-28.677465390000002
5.02,-28.827316983132526,5.02,-28.58354338
5.04,-28.70489259174184,5.04,-28.58354338
5.06,-28.580596841656906,5.06,-28.364392
5.08,-28.454305333807476,5.08,-28.364392
5.1,-28.325927843567996,5.1000000000000005,-28.27046998
5.12,-28.19542828161444,5.12,-27.92608924
5.14,-28.062844888647717,5.140000000000001,-27.86347456
5.16,-27.928309997291294,5.159999999999999,-27.73824707
5.18,-27.79206844494609,5.18,-27.644325050000003
5.2,-27.654493376811168,5.2,-27.76955441
5.22,-27.516097786514877,5.22,-27.48778835
5.24,-27.37753978541469,5.24,-27.42517367
5.26,-27.239619385067655,5.26,-27.644325050000003
5.28,-27.10326465324647,5.279999999999999,-27.393866329999998
5.3,-26.96950558494276,5.3,-27.36255899
5.32,-26.839434988136297,5.32,-27.29994431
5.34,-26.71415709589371,5.34,-27.26863697
5.36,-26.59472632767521,5.36,-27.08079293
5.38,-26.482080341937007,5.380000000000001,-26.7677214
5.4,-26.37697284184636,5.3999999999999995,-26.673799380000002
5.42,-26.279912020526034,5.42,-26.57987736
5.44,-26.191109454901863,5.44,-26.70510672
5.46,-26.11044082616867,5.46,-26.48595534
5.48,-26.037412739029797,5.48,-26.57987736
5.5,-25.971117274785833,5.5,-26.23549663
5.52,-25.91013601928153,5.52,-26.047652590000002
5.54,-25.852328553742005,5.54,-25.76588839
5.56,-25.794412120812012,5.56,-25.73458105
5.58,-25.731220230955664,5.58,-25.546737020000002
5.6,-25.654528502099723,5.6000000000000005,-25.20235628
5.62,-25.551354004467484,5.62,-24.63882603
5.64,-25.401659629674796,5.64,-24.63882603
5.66,-25.175476020385076,5.66,-24.0126811
5.68,-24.82988222496097,5.68,-23.57437834
5.7,-24.30777633601315,5.7,-23.10477011
5.72,-23.542759561273044,5.720000000000001,-22.22816646
5.74,-22.468469758484034,5.74,-21.53940499
5.76,-20.990762488270228,5.76,-20.7880307
5.78,-18.9032158121587,5.78,-19.817505030000003
5.8,-16.019426537008542,5.8,-18.34606379
5.82,-12.023429309563662,5.82,-16.561549160000002
5.84,-6.671285216734264,5.84,-13.58735748
5.86,0.46242916134799295,5.86,-8.265120909
5.88,9.75345388784229,5.88,1.471441938
5.9,21.369504033001178,5.8999999999999995,20.349729810000003
5.92,34.7688757783311,5.92,44.86332461
5.94,46.09924026626834,5.94,54.505966599999994
5.96,50.416663074844614,5.96,54.25550789
5.98,48.4428546881948,5.98,49.528110770000005
6.0,43.192615266419594,6.0,41.106451299999996
6.02,36.31819041049381,6.02,30.99420294
6.04,28.47368678290274,6.04,22.07162976
6.06,19.91577665003684,6.0600000000000005,15.184029010000001
6.08,10.904937620957341,6.08,9.736563079
6.1,1.7018253266292866,6.1000000000000005,4.038638435
6.12,-7.423323605677259,6.119999999999999,-1.753207413
6.14,-16.221870837994267,6.14,-8.985187858
6.16,-24.459866558772084,6.16,-18.471293149999997
6.18,-31.968751298218578,6.18,-29.77321856
6.2,-38.62648297240775,6.2,-40.35507888
6.22,-44.40442424548793,6.220000000000001,-48.55758324
6.24,-49.30728046510059,6.239999999999999,-54.19289321
6.26,-53.34787727267884,6.26,-57.5427711
6.28,-56.595168142786136,6.28,-59.64035913
6.3,-59.17995757119536,6.3,-60.9552674
6.32,-61.16896214677516,6.32,-61.86317652
6.34,-62.62942563635923,6.340000000000001,-62.3954013
6.36,-63.64996114478109,6.359999999999999,-62.92762607000001
6.38,-64.32133393088402,6.38,-63.146777449999995
6.4,-64.7239529214115,6.4,-63.02154809
6.42,-64.92416777560179,6.42,-63.49115818999999
6.44,-64.97357448413001,6.44,-63.33462149
6.46,-64.91127957768417,6.46,-63.522465530000005
6.48,-64.76758888313826,6.4799999999999995,-63.36592883
6.5,-64.5668148326545,6.5,-63.36592883
6.52,-64.32875002822908,6.52,-63.27200681
6.54,-64.06941096230925,6.54,-63.20939213
6.56,-63.801525924699305,6.5600000000000005,-63.115470110000004
6.58,-63.53493284386322,6.58,-62.99024075
6.6,-63.27693042289275,6.6,-62.89631873
6.62,-63.032607641061034,6.62,-62.77108938000001
