ts,u_predict,t_,V
8.96,-55.23895601441386,8.96,-54.912962019999995
8.98,-55.19635987946664,8.98,-54.94426936
9.0,-55.15386675311139,9.0,-55.100806060000004
9.02,-55.111475985354346,9.020000000000001,-54.9755767
9.04,-55.06918697073935,9.040000000000001,-54.881654680000004
9.06,-55.02699914666947,9.06,-54.912962019999995
9.08,-54.984911991803344,9.079999999999998,-54.787732659999996
9.1,-54.942925024521955,9.1,-54.81904
9.12,-54.90103780146232,9.12,-54.6625033
9.14,-54.85924991611249,9.139999999999999,-54.72511798
9.16,-54.817560997469016,9.16,-54.63119596
9.18,-54.77597070874823,9.18,-54.53727394
9.2,-54.734478746152135,9.2,-54.63119596
9.22,-54.69308483768414,9.22,-54.53727394
9.24,-54.651788742013665,9.24,-54.31812257
9.26,-54.61059024738445,9.26,-54.28681523
9.28,-54.56948917056711,9.280000000000001,-54.16158587
9.3,-54.528485355851004,9.3,-54.13027853
9.32,-54.48757867407561,9.32,-54.19289321
9.34,-54.44676902169739,9.34,-54.34942991
9.36,-54.40605631989153,9.36,-53.973741829999994
9.38,-54.36544051368598,9.379999999999999,-54.036356510000005
9.4,-54.324921571127234,9.4,-54.13027853
9.42,-54.28449948247412,9.42,-53.973741829999994
9.44,-54.24417425942035,9.44,-54.09897119
9.46,-54.20394593434317,9.46,-53.973741829999994
9.48,-54.16381455957692,9.48,-53.91112715
9.5,-54.12378020671004,9.5,-53.879823540000004
9.52,-54.083842965905305,9.520000000000001,-53.72328684
9.54,-54.04400294524048,9.540000000000001,-53.8485162
9.56,-54.004260270069764,9.559999999999999,-53.72328684
9.58,-53.964615082404904,9.58,-53.59805748
9.6,-53.925067540313464,9.6,-53.81720886
9.62,-53.88561781733516,9.62,-53.50413546
9.64,-53.84626610191559,9.64,-53.50413546
9.66,-53.80701259685348,9.66,-53.441520780000005
9.68,-53.767857518765325,9.68,-53.378906099999995
9.7,-53.728801097562425,9.7,-53.378906099999995
9.72,-53.6898435759429,9.72,-53.253676739999996
9.74,-53.65098520889539,9.74,-53.31629142
9.76,-53.61222626321613,9.76,-53.253676739999996
9.78,-53.57356701703752,9.780000000000001,-53.28498408
9.8,-53.535007759367275,9.8,-53.03452536
9.82,-53.49654878963936,9.819999999999999,-53.09714004
9.84,-53.458190417274764,9.84,-53.00321802
9.86,-53.41993296125163,9.86,-52.87798867
9.88,-53.38177674968573,9.879999999999999,-52.940603349999996
9.9,-53.34372211941921,9.9,-53.00321802
9.92,-53.30576941561846,9.92,-52.846681329999996
9.94,-53.26791899137989,9.94,-52.87798867
9.96,-53.23017120734441,9.96,-52.81537399
9.98,-53.19252643131857,9.98,-52.846681329999996
10.0,-53.15498503790373,10.0,-52.87798867
10.02,-53.11754740813261,10.020000000000001,-52.72145197
10.04,-53.080213929112304,10.04,-52.81537399
10.06,-53.04298499367347,10.059999999999999,-52.78406665
10.08,-53.00586100002711,10.08,-52.62752995
10.1,-52.968842351426716,10.1,-52.62752995
10.12,-52.93192945583628,10.12,-52.65883729
10.14,-52.89512272560496,10.14,-52.43968591
10.16,-52.85842257714661,10.16,-52.502300590000004
10.18,-52.82182943062533,10.18,-52.502300590000004
10.2,-52.78534370964566,10.200000000000001,-52.408378569999996
10.22,-52.74896584094931,10.22,-52.408378569999996
10.24,-52.712696254115045,10.24,-52.502300590000004
10.26,-52.676535381265595,10.260000000000002,-52.533607929999995
10.28,-52.64048365677779,10.280000000000001,-52.377071230000006
10.3,-52.60454151699828,10.299999999999999,-52.43968591
10.32,-52.56870939996334,10.319999999999999,-52.56491527
10.34,-52.53298774512429,10.34,-52.377071230000006
10.36,-52.49737699307566,10.36,-52.34576389
10.38,-52.4618775852892,10.379999999999999,-52.31445655
10.4,-52.42648996385209,10.4,-52.28314921
10.42,-52.391214571207954,10.42,-52.18922719
10.44,-52.35605184990375,10.44,-52.18922719
10.46,-52.32100224234044,10.46,-52.15791985
10.48,-52.2860661905264,10.48,-52.25184187
10.5,-52.251244135836586,10.5,-52.15791985
10.52,-52.21653651877439,10.52,-52.15791985
10.54,-52.18194377873853,10.54,-52.09530517
10.56,-52.147466353792666,10.559999999999999,-52.09530517
10.58,-52.11310468043946,10.58,-52.03269422
10.6,-52.07885919339846,10.6,-52.00138688
10.62,-52.04473032538796,10.62,-52.03269422
10.64,-52.01071850690953,10.64,-52.09530517
10.66,-51.97682416603804,10.66,-51.81354284
10.68,-51.943047728213614,10.68,-51.907464860000005
10.7,-51.90938961603838,10.700000000000001,-51.84485018
10.72,-51.87585024907618,10.72,-51.719620819999996
10.74,-51.84243004365713,10.74,-51.75092816
10.76,-51.80912941268356,10.760000000000002,-51.75092816
10.78,-51.77594876544204,10.78,-51.75092816
10.8,-51.74288850741719,10.799999999999999,-51.75092816
10.82,-51.709949040109976,10.82,-51.68831348
10.84,-51.67713076085924,10.84,-51.6256988
10.86,-51.64443406266683,10.86,-51.68831348
10.88,-51.61185933402588,10.88,-51.59439147
