ts,u_predict,t_,V
2.5,-39.49982509064046,2.5,-39.6663174
2.52,-39.423907470067114,2.52,-39.60370272
2.54,-39.34823720818249,2.54,-39.57239538
2.56,-39.272803050218165,2.56,-39.50978069999999
2.58,-39.19759356750077,2.5799999999999996,-39.41585869
2.6,-39.122597145293206,2.6,-39.41585869
2.62,-39.0478019710825,2.62,-39.41585869
2.64,-38.97319602340249,2.6399999999999997,-39.384551349999995
2.66,-38.89876706129201,2.66,-39.353244010000004
2.68,-38.82450261449676,2.68,-39.165403690000005
2.7,-38.750389974537065,2.6999999999999997,-39.165403690000005
2.72,-38.676416186771185,2.72,-39.008867
2.74,-38.60256804359893,2.74,-38.8523303
2.76,-38.528832078956135,2.76,-38.75840828
2.78,-38.45519456426721,2.78,-38.789715619999996
2.8,-38.38164150602665,2.8000000000000003,-38.63317892
2.82,-38.30815864519348,2.82,-38.66448626
2.84,-38.234731458588904,2.84,-38.60187158
2.86,-38.16134516249105,2.8600000000000003,-38.445334880000004
2.88,-38.08798471862708,2.88,-38.35141286
2.9,-38.014634842760735,2.9,-38.47664222
2.92,-37.94128001607056,2.92,-38.32010552
2.94,-37.8679044995071,2.94,-38.19487616
2.96,-37.79449235130458,2.96,-38.10095415
2.98,-37.72102744780236,2.98,-38.06964681
3.0,-37.64749350770983,3.0,-38.00703213
3.02,-37.57387411991325,3.02,-37.913110110000005
3.04,-37.50015277488318,3.04,-37.88180277
3.06,-37.42631289969366,3.0599999999999996,-37.85049543
3.08,-37.35233789660273,3.08,-37.69395873
3.1,-37.27821118507985,3.1,-37.725266069999996
3.12,-37.203916247082184,3.1199999999999997,-37.443503740000004
3.14,-37.12943667529961,3.14,-37.443503740000004
3.16,-37.05475622398658,3.16,-37.443503740000004
3.18,-36.97985886189627,3.1799999999999997,-37.255659699999995
3.2,-36.9047288267193,3.2,-37.13043034
3.22,-36.829350680312835,3.22,-36.84866428
3.24,-36.7537093638873,3.2399999999999998,-36.87997162
3.26,-36.67779025220023,3.26,-36.911278960000004
3.28,-36.601579205698364,3.2800000000000002,-36.72343493
3.3,-36.525062619445386,3.3,-36.535590889999995
3.32,-36.44822746759454,3.32,-36.410361529999996
3.34,-36.37106134210229,3.3400000000000003,-36.44166887
3.36,-36.2935524843511,3.36,-36.253824830000006
3.38,-36.21568980835898,3.38,-36.06598079
3.4,-36.137462914303335,3.4,-35.90944409
